epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.972,2.15699,4.42603,1.35243,0.01895,0.09394,0.06132,0.0289,2.09175,4.7248,1.38223,7.14e-06,7.14e-06,7.14e-06
2,292.442,2.21114,4.33208,1.3136,0.02832,0.21599,0.09372,0.04694,2.16722,4.28714,1.36473,2.10666e-05,2.10666e-05,2.10666e-05
3,468.384,2.15039,3.61351,1.25511,0.32372,0.15926,0.12717,0.07106,2.21286,3.41675,1.36615,3.45219e-05,3.45219e-05,3.45219e-05
4,610.599,1.99094,2.65539,1.20184,0.64996,0.17037,0.16107,0.09073,2.18221,2.58449,1.31567,4.7506e-05,4.7506e-05,4.7506e-05
5,813.591,1.85659,2.2462,1.156,0.14686,0.6565,0.32161,0.15334,2.13318,2.35223,1.27074,6.00188e-05,6.00188e-05,6.00188e-05
6,986.326,1.8973,1.99262,1.15849,0.31213,0.58055,0.4857,0.2134,2.14896,2.02992,1.23324,7.20604e-05,7.20604e-05,7.20604e-05
7,1156.14,1.95298,1.58919,1.1684,0.36559,0.65614,0.54555,0.24744,2.09053,1.84334,1.17012,8.36308e-05,8.36308e-05,8.36308e-05
8,1303.74,2.01452,1.48213,1.10822,0.46632,0.61374,0.61445,0.29697,1.99593,2.46647,1.14108,9.47299e-05,9.47299e-05,9.47299e-05
9,1446.06,1.85043,1.24424,1.07066,0.46272,0.69456,0.63528,0.30873,1.97056,2.69176,1.13492,0.000105358,0.000105358,0.000105358
10,1587.98,1.87036,1.2942,1.06926,0.43408,0.58751,0.61529,0.31499,1.93485,2.71619,1.11782,0.000115514,0.000115514,0.000115514
11,1728.57,1.81427,1.12438,1.02149,0.46956,0.60406,0.60486,0.30662,1.90866,2.44314,1.10524,0.0001252,0.0001252,0.0001252
12,1832.31,1.74152,1.13165,1.02483,0.42714,0.64837,0.61643,0.31519,1.87696,2.27314,1.09909,0.000134414,0.000134414,0.000134414
13,1934.35,1.79596,1.14324,1.06046,0.73276,0.56653,0.6733,0.35427,1.85528,2.15511,1.08569,0.000143157,0.000143157,0.000143157
14,2028.98,1.77236,1.04163,1.00403,0.68164,0.70486,0.7253,0.38019,1.83004,2.09424,1.07928,0.000151429,0.000151429,0.000151429
15,2143.69,1.78259,1.1827,1.10347,0.72229,0.71767,0.76059,0.41012,1.83016,1.84059,1.07334,0.000159229,0.000159229,0.000159229
16,2255.18,1.75616,1.13409,1.05145,0.58085,0.75327,0.77093,0.42391,1.79563,1.51285,1.06727,0.000166558,0.000166558,0.000166558
17,2375.35,1.62848,0.95234,1.00132,0.62792,0.78987,0.77186,0.43231,1.72411,1.23573,1.05069,0.000173416,0.000173416,0.000173416
18,2480.29,1.68432,0.93707,1,0.69801,0.71344,0.79197,0.43604,1.68608,1.22103,1.04518,0.000179803,0.000179803,0.000179803
19,2604.66,1.74131,0.97738,0.9958,0.71515,0.6944,0.78084,0.41484,1.72524,1.30632,1.05922,0.000185719,0.000185719,0.000185719
20,2715.42,1.62752,0.9008,0.98722,0.75762,0.67319,0.78534,0.4167,1.76635,1.24444,1.06682,0.000191163,0.000191163,0.000191163
21,2833.82,1.66511,0.93419,0.96196,0.60972,0.82822,0.78416,0.42449,1.78154,1.25272,1.05958,0.000196136,0.000196136,0.000196136
22,2949.87,1.59936,0.88334,0.96618,0.77412,0.66768,0.80351,0.42536,1.79578,1.22457,1.05968,0.000200638,0.000200638,0.000200638
23,3058.68,1.6651,0.92145,0.98449,0.71665,0.78298,0.81834,0.433,1.79145,1.14663,1.05814,0.000204668,0.000204668,0.000204668
24,3154.49,1.59297,0.88329,0.99184,0.79076,0.76123,0.83244,0.44587,1.75192,1.07544,1.04852,0.000208227,0.000208227,0.000208227
25,3266.2,1.65503,0.8445,0.98353,0.73639,0.82539,0.84528,0.45725,1.69964,1.05563,1.04428,0.000211315,0.000211315,0.000211315
