epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9984,1.96288,4.33591,1.31312,0.00332,0.05401,0.01154,0.00433,2.15781,4.69263,1.38706,2.5e-05,2.5e-05,2.5e-05
2,19.9805,1.95327,3.58604,1.25157,0.0736,0.42533,0.15578,0.09355,1.97166,2.5086,1.24024,5.56931e-05,5.56931e-05,5.56931e-05
3,27.2709,1.67866,1.81425,1.12792,0.76208,0.34807,0.42514,0.23848,1.72521,1.63628,1.12416,8.57675e-05,8.57675e-05,8.57675e-05
4,35.9496,1.71145,1.32017,1.09929,0.64832,0.408,0.49125,0.26006,1.66909,1.64426,1.07253,0.000115223,0.000115223,0.000115223
5,44.1981,1.5989,1.14055,1.06496,0.68338,0.65005,0.63177,0.33674,1.58585,1.38281,1.03416,0.00014406,0.00014406,0.00014406
6,52.8265,1.58634,1.04867,1.01675,0.62427,0.7753,0.76262,0.41243,1.54887,1.31911,1.01894,0.000172278,0.000172278,0.000172278
7,61.4328,1.49994,0.96865,1.01763,0.55018,0.79746,0.58425,0.28736,1.54538,3.02311,1.01401,0.000199877,0.000199877,0.000199877
8,69.1301,1.53267,0.9529,1.01501,0.47997,0.84319,0.51144,0.26006,1.54673,5.00105,1.00423,0.000226858,0.000226858,0.000226858
9,76.9405,1.49672,0.88627,1.00062,0.6065,0.82429,0.70308,0.3899,1.52249,3.31537,0.99473,0.00025322,0.00025322,0.00025322
10,84.159,1.48723,0.86056,0.99289,0.70498,0.83317,0.76542,0.45254,1.48637,2.53672,0.97938,0.000278963,0.000278963,0.000278963
11,92.9924,1.49682,0.8411,1.00586,0.67126,0.84923,0.75065,0.44261,1.5253,2.08217,0.99538,0.000304088,0.000304088,0.000304088
12,101.893,1.43678,0.81878,0.96591,0.69505,0.87512,0.79633,0.43016,1.5258,1.45708,0.99883,0.000328593,0.000328593,0.000328593
13,111.651,1.45428,0.80927,0.98556,0.73158,0.8159,0.80302,0.45194,1.5256,1.21374,0.99808,0.00035248,0.00035248,0.00035248
14,119.015,1.47598,0.78531,0.96897,0.79085,0.85344,0.82112,0.4819,1.51291,0.98673,0.98437,0.000375748,0.000375748,0.000375748
15,128.156,1.47464,0.8045,0.97613,0.81228,0.72967,0.88583,0.52482,1.4509,0.80032,0.96492,0.000398397,0.000398397,0.000398397
16,136.671,1.38718,0.77663,0.99001,0.87615,0.85789,0.90483,0.52933,1.4611,0.73028,0.96102,0.000420428,0.000420428,0.000420428
17,145.19,1.41762,0.75476,0.9513,0.84835,0.87968,0.91432,0.51554,1.48841,0.76815,0.96521,0.00044184,0.00044184,0.00044184
18,154.917,1.40997,0.75173,0.96192,0.81398,0.87656,0.91049,0.49785,1.51195,0.776,0.97546,0.000462633,0.000462633,0.000462633
19,162.691,1.39033,0.72983,0.95016,0.85455,0.87557,0.91097,0.52929,1.48588,0.75064,0.97413,0.000482808,0.000482808,0.000482808
20,171.594,1.41742,0.73037,0.96381,0.89327,0.8497,0.90034,0.51883,1.45378,0.72941,0.96438,0.000502363,0.000502363,0.000502363
21,180.625,1.31442,0.69913,0.95176,0.86848,0.86927,0.89558,0.50929,1.49442,0.72216,0.9618,0.00050125,0.00050125,0.00050125
22,188.43,1.35443,0.715,0.9477,0.86641,0.87435,0.88997,0.49718,1.50873,0.71525,0.96701,0.000495063,0.000495063,0.000495063
23,197.767,1.3471,0.69527,0.94457,0.87009,0.88225,0.90972,0.49907,1.50996,0.73784,0.97397,0.000488875,0.000488875,0.000488875
